scientificname;yeareventdate;montheventdate;dayeventdate;stateprovince;county;municipality;minimumelevationinmeters;decimallatitude;decimalLongitude
Eriogaster catax Linnaeus, 1758;2018.000000;5.000000;11.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Peñacerrada-Urizaharra;1008.000000;42.644200;-2.713300
Eriogaster catax Linnaeus, 1758;2019.000000;5.000000;4.000000;Álava;Arabako Lautada / Llanada Alavesa;San Millán/Donemiliaga;627.000000;42.873600;-2.375800
Eriogaster catax Linnaeus, 1758;2017.000000;4.000000;23.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Arraia-Maeztu;850.000000;42.757500;-2.454700
Eriogaster catax Linnaeus, 1758;2018.000000;5.000000;1.000000;Álava;Arabako Lautada / Llanada Alavesa;San Millán/Donemiliaga;695.000000;42.873600;-2.375800
Eriogaster catax Linnaeus, 1758;2019.000000;4.000000;28.000000;Álava;Gorbeialdea / Estribaciones del Gorbea;Zigoitia;600.000000;42.967800;-2.717800
Eriogaster catax Linnaeus, 1758;2018.000000;5.000000;27.000000;Álava;Gorbeialdea / Estribaciones del Gorbea;Urkabustaiz;740.000000;42.972200;-2.921700
Eriogaster catax Linnaeus, 1758;2018.000000;5.000000;6.000000;Álava;Arabako Lautada / Llanada Alavesa;Agurain/Salvatierra;827.000000;42.852400;-2.389400
Proserpinus proserpina Pallas, 1772;2016.000000;7.000000;3.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;513.000000;42.846700;-2.672700
Proserpinus proserpina Pallas, 1772;1988.000000;5.000000;30.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;520.000000;42.846700;-2.672700
Proserpinus proserpina Pallas, 1772;2021.000000;5.000000;15.000000;Álava;Arabako Errioxa / Rioja Alavesa;Elciego;;42.515300;-2.618600
Proserpinus proserpina Pallas, 1772;2018.000000;5.000000;18.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;523.000000;42.846700;-2.672700
Eriogaster catax Linnaeus, 1758;2019.000000;5.000000;1.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Campezo/Kanpezu;795.000000;42.672200;-2.366700
Eriogaster catax Linnaeus, 1758;2018.000000;5.000000;13.000000;Álava;Arabako Mendialdea / Montaña Alavesa;Lagrán;871.000000;42.626400;-2.583900
Eriogaster catax Linnaeus, 1758;2018.000000;5.000000;1.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;547.000000;42.846700;-2.672700
Eriogaster catax Linnaeus, 1758;2018.000000;5.000000;20.000000;Álava;Añana;Valdegovía/Gaubea;807.000000;42.848100;-3.098600
Eriogaster catax Linnaeus, 1758;2017.000000;4.000000;15.000000;Álava;Gorbeialdea / Estribaciones del Gorbea;Zigoitia;660.000000;42.967800;-2.717800
Eriogaster catax Linnaeus, 1758;2017.000000;4.000000;17.000000;Álava;Gorbeialdea / Estribaciones del Gorbea;Zigoitia;660.000000;42.967800;-2.717800
Eriogaster catax Linnaeus, 1758;2017.000000;12.000000;31.000000;Álava;Gorbeialdea / Estribaciones del Gorbea;Zigoitia;660.000000;42.967800;-2.717800
Eriogaster catax Linnaeus, 1758;2018.000000;3.000000;11.000000;Álava;Gorbeialdea / Estribaciones del Gorbea;Zigoitia;660.000000;42.967800;-2.717800
Eriogaster catax Linnaeus, 1758;2018.000000;3.000000;25.000000;Álava;Gorbeialdea / Estribaciones del Gorbea;Zigoitia;660.000000;42.967800;-2.717800
Eriogaster catax Linnaeus, 1758;2018.000000;4.000000;21.000000;Álava;Gorbeialdea / Estribaciones del Gorbea;Zigoitia;660.000000;42.967800;-2.717800
Eriogaster catax Linnaeus, 1758;2018.000000;4.000000;28.000000;Álava;Gorbeialdea / Estribaciones del Gorbea;Zigoitia;660.000000;42.967800;-2.717800
Eriogaster catax Linnaeus, 1758;2019.000000;4.000000;28.000000;Álava;Gorbeialdea / Estribaciones del Gorbea;Zigoitia;660.000000;42.967800;-2.717800
Eriogaster catax Linnaeus, 1758;2020.000000;1.000000;11.000000;Álava;Gorbeialdea / Estribaciones del Gorbea;Zigoitia;660.000000;42.967800;-2.717800
Eriogaster catax Linnaeus, 1758;2017.000000;4.000000;16.000000;Álava;Gorbeialdea / Estribaciones del Gorbea;Zuia;700.000000;42.981900;-2.843000
Eriogaster catax Linnaeus, 1758;2010.000000;4.000000;16.000000;Álava;Gorbeialdea / Estribaciones del Gorbea;Zigoitia;670.000000;42.967800;-2.717800
Eriogaster catax Linnaeus, 1758;2016.000000;5.000000;13.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;588.000000;42.846700;-2.672700
Eriogaster catax Linnaeus, 1758;2017.000000;4.000000;8.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;588.000000;42.846700;-2.672700
Eriogaster catax Linnaeus, 1758;2017.000000;4.000000;17.000000;Álava;Arabako Lautada / Llanada Alavesa;Vitoria-Gasteiz;588.000000;42.846700;-2.672700
Euphydryas aurinia (Rottemburg, 1775);1977.000000;6.000000;14.000000;Álava;Añana;Erriberagoitia/Ribera Alta;674.000000;42.828100;-2.416700
